paper_id,publish_time,title,doi,journal,similarity
f2b8d478a21a63e3c986ccbd0bfafc71578252d0,2020-05-30,"COVID-19 panic, solidarity and equity—the Malta exemplary experience",10.1007/s10389-020-01308-w,Z Gesundh Wiss,1.0000000000000002
e161b910c1411b6d44fb63dbb5534dda132d44cd,2020-06-14,Optimal size of sample pooling for RNA pool testing: an avant-garde for scaling up SARS CoV 2 testing,10.1101/2020.06.11.20128793,,1.0000000000000002
ce707aeb4fe129ed6e3b011c2776f48b9cb200d6,,,,,1.0000000000000002
d96113a2d8691d3b1aee5fd1b5d30241f2b2a633,2020-06-08,Quantify the role of superspreaders -opinion leaders- on COVID-19 information propagation in the Chinese Sina-microblog,10.1371/journal.pone.0234023,PLoS One,1.0000000000000002
c4213fb7b0fdd8926e9e4108726524bc87483677,2020-05-08,Forecasting COVID-19 new cases in Algeria using Autoregressive fractionally integrated moving average Models (ARFIMA),10.1101/2020.05.03.20089615,,1.0000000000000002
dc57cacedbbad71644464158ec9a2d61afbaeb70,2020-05-21,Surgical treatment of thoracolumbar fracture with incomplete lower limb paralysis in a patient with COVID-19,10.1016/j.cjtee.2020.05.005,Chin J Traumatol,1.0000000000000002
a3f69a45be4bf642b2375f5df6218fe9bb087f92,2020-07-31,Managing business relationships during a pandemic: Conducting a relationship audit and developing a path forward,10.1016/j.indmarman.2020.05.025,Industrial Marketing Management,1.0000000000000002
249562b091482dd3e0ca8bdc45ea1d7c52ba1616,2014-04-13,Viral Respiratory Infections Diagnosed by Multiplex PCR after Allogeneic Hematopoietic Stem Cell Transplantation: Long-Term Incidence and Outcome,10.1016/j.bbmt.2014.04.004,Biol Blood Marrow Transplant,1.0000000000000002
49d58cfebcb62abd1286784f0bc3142ac91e4026,2010-12-31,Chapter 45 Gender Differences in Emerging Infectious Diseases,10.1016/b978-0-12-374271-1.00045-9,Principles of Gender-Specific Medicine,1.0000000000000002
872a34dc8f89a091dbf8f6280c6947fca7e14e2c,2020-05-29,Older age is associated with sustained detection of SARS-CoV-2 in nasopharyngeal swab samples,10.1101/2020.05.28.20115378,,1.0000000000000002
